iter	Passed	Remaining
407	5319	1199
408	5332	1186
409	5346	1173
410	5358	1160
411	5369	1146
412	5379	1133
413	5390	1119
414	5401	1106
415	5411	1092
416	5422	1079
417	5437	1066
418	5447	1053
419	5457	1039
420	5467	1026
421	5478	1012
422	5488	999
423	5499	985
424	5510	972
425	5522	959
426	5536	946
427	5550	933
428	5562	920
429	5572	907
430	5583	893
431	5595	880
432	5605	867
433	5617	854
434	5630	841
435	5641	828
436	5653	815
437	5663	801
438	5676	788
439	5689	775
440	5699	762
441	5712	749
442	5724	736
443	5735	723
444	5752	710
445	5786	700
446	5799	687
447	5812	674
448	5824	661
449	5835	648
450	5847	635
451	5857	621
452	5868	608
453	5878	595
454	5889	582
455	5901	569
456	5913	556
457	5925	543
458	5937	530
459	5948	517
460	5970	505
461	5982	492
462	5995	479
463	6008	466
464	6021	453
465	6033	440
466	6043	427
467	6055	414
468	6069	401
469	6081	388
470	6096	375
471	6107	362
472	6120	349
473	6132	336
474	6143	323
475	6157	310
476	6171	297
477	6182	284
478	6194	271
479	6205	258
480	6219	245
481	6231	232
482	6243	219
483	6254	206
484	6268	193
485	6280	180
486	6294	168
487	6305	155
488	6316	142
489	6329	129
490	6341	116
491	6353	103
492	6382	90
493	6394	77
494	6405	64
495	6415	51
496	6427	38
497	6438	25
498	6447	12
499	6463	0
